axon_id,g_ratio,axon_area_px,myelin_area_px,cx,cy,equiv_radius_px
5,0.8014,350,195,397.8,9.2,10.6
6,0.7631,244,175,439.2,4.7,8.8
11,0.7262,202,181,183.8,11.2,8.0
21,0.5595,452,992,39.2,21.6,12.0
22,0.8289,393,179,307.2,21.5,11.2
25,0.8097,571,300,254.5,25.8,13.5
29,0.6930,219,237,386.3,25.1,8.3
32,0.6943,282,303,721.1,24.7,9.5
34,0.6582,289,378,551.2,32.3,9.6
43,0.6146,477,786,699.3,48.3,12.3
45,0.6971,448,474,128.3,49.3,11.9
47,0.7093,318,314,403.4,49.5,10.1
52,0.6276,666,1025,505.3,58.4,14.6
55,0.6316,353,532,26.7,57.8,10.6
58,0.6684,520,644,750.7,63.0,12.9
63,0.7036,398,406,562.4,67.0,11.3
64,0.6466,319,444,458.4,68.6,10.1
65,0.8280,229,105,67.3,69.3,8.5
67,0.7124,268,260,158.0,70.7,9.2
70,0.7357,505,428,297.2,77.3,12.7
73,0.7071,260,260,126.9,77.5,9.1
76,0.6695,212,261,377.4,78.1,8.2
77,0.5743,217,441,205.9,79.4,8.3
84,0.7586,763,563,537.8,93.0,15.6
85,0.7835,391,246,446.8,92.8,11.2
89,0.6830,362,414,241.3,96.1,10.7
91,0.5809,276,542,588.2,95.4,9.4
92,0.8092,203,107,724.5,93.8,8.0
97,0.7173,336,317,752.2,103.6,10.3
99,0.7533,244,186,421.4,101.9,8.8
102,0.7215,366,337,379.4,105.6,10.8
103,0.7121,285,277,500.8,106.2,9.5
106,0.5472,215,503,323.7,104.9,8.3
110,0.6505,248,338,97.5,114.7,8.9
111,0.8113,1317,684,224.7,130.0,20.5
114,0.8249,507,238,727.7,122.0,12.7
116,0.7112,477,466,287.2,123.0,12.3
118,0.6612,390,502,685.8,123.6,11.1
125,0.5955,222,404,161.9,130.0,8.4
129,0.6202,250,400,633.6,135.2,8.9
130,0.7378,221,185,567.6,134.9,8.4
131,0.5642,297,636,517.4,138.2,9.7
133,0.7212,324,299,387.8,138.6,10.2
134,0.7043,379,385,16.2,139.1,11.0
135,0.7170,676,639,86.2,144.4,14.7
137,0.7812,603,385,487.0,148.4,13.9
138,0.5809,244,479,453.3,143.2,8.8
139,0.7235,223,203,121.7,144.4,8.4
140,0.7636,1130,808,355.1,155.6,19.0
141,0.6930,244,264,723.7,147.2,8.8
145,0.7401,212,175,560.0,152.3,8.2
146,0.6484,391,539,276.7,157.4,11.2
147,0.7967,1173,675,595.6,169.9,19.3
148,0.7148,282,270,627.1,163.7,9.5
149,0.6808,267,309,220.8,166.0,9.2
151,0.6878,237,264,533.6,165.0,8.7
153,0.5241,220,581,15.7,168.8,8.4
155,0.6276,269,414,757.8,175.0,9.3
161,0.7187,250,234,179.2,176.0,8.9
162,0.6197,255,409,408.1,180.1,9.0
166,0.7392,406,337,261.0,185.1,11.4
167,0.7272,910,811,496.9,191.6,17.0
170,0.7895,710,429,375.1,199.2,15.0
172,0.7733,601,404,87.5,201.1,13.8
174,0.6806,353,409,157.1,200.6,10.6
175,0.7467,320,254,208.6,197.7,10.1
176,0.6957,407,434,646.1,199.8,11.4
178,0.5623,246,532,21.6,198.6,8.8
179,0.5571,207,460,443.7,198.7,8.1
182,0.7250,338,305,610.2,207.1,10.4
183,0.5235,225,596,413.4,207.7,8.5
184,0.5153,210,581,53.8,210.8,8.2
191,0.7172,358,338,205.5,224.0,10.7
195,0.7471,302,239,594.1,226.0,9.8
202,0.8189,507,249,453.8,238.8,12.7
204,0.7048,306,310,351.0,237.6,9.9
205,0.6035,228,398,544.2,235.8,8.5
210,0.7640,265,189,236.2,243.9,9.2
212,0.5761,224,451,503.7,245.1,8.4
214,0.7408,686,564,185.7,252.3,14.8
215,0.5863,330,630,63.9,253.7,10.2
218,0.7359,502,425,300.0,258.5,12.6
221,0.7193,845,788,118.5,265.4,16.4
225,0.7952,277,161,606.1,261.7,9.4
227,0.6117,281,470,376.8,267.9,9.5
231,0.7965,373,215,709.8,271.7,10.9
235,0.7844,291,182,447.1,275.0,9.6
237,0.6821,355,408,41.5,282.3,10.6
239,0.8010,265,148,196.9,280.3,9.2
240,0.7161,260,247,649.8,281.3,9.1
242,0.6745,636,762,238.5,294.5,14.2
243,0.7092,255,252,69.7,286.0,9.0
245,0.6612,435,560,556.2,290.3,11.8
252,0.7117,390,380,123.7,302.4,11.1
253,0.8020,548,304,446.8,303.2,13.2
255,0.6111,211,354,310.4,299.7,8.2
258,0.6887,582,645,643.7,313.2,13.6
260,0.7446,458,368,75.1,313.7,12.1
263,0.6582,266,348,602.9,315.6,9.2
267,0.7945,445,260,702.5,322.7,11.9
268,0.4201,203,947,393.9,322.5,8.0
270,0.5326,217,548,480.7,326.5,8.3
274,0.6512,517,702,273.7,341.9,12.8
275,0.6507,332,452,57.3,339.6,10.3
277,0.5413,276,666,156.0,339.1,9.4
282,0.7340,793,679,215.5,353.5,15.9
287,0.6851,491,555,664.7,351.6,12.5
289,0.6982,546,574,539.3,355.9,13.2
293,0.7408,236,194,430.1,360.9,8.7
295,0.7907,382,229,255.7,369.1,11.0
296,0.7412,250,205,335.0,367.3,8.9
297,0.7594,357,262,700.8,372.3,10.7
301,0.7258,383,344,66.0,375.2,11.0
302,0.7029,252,258,308.5,372.6,9.0
303,0.5658,210,446,450.1,375.8,8.2
305,0.7335,708,608,165.4,380.9,15.0
308,0.6308,234,354,131.5,378.8,8.6
309,0.7265,275,246,94.8,380.3,9.4
310,0.7598,336,246,728.0,382.1,10.3
311,0.6441,212,299,198.4,386.0,8.2
317,0.6725,388,470,333.9,400.8,11.1
322,0.7066,364,365,607.2,399.7,10.8
323,0.7430,1194,969,707.3,410.6,19.5
329,0.7311,302,263,138.7,410.9,9.8
337,0.7507,501,388,583.3,417.7,12.6
338,0.6981,693,729,10.6,428.2,14.9
340,0.7627,598,430,656.3,421.3,13.8
341,0.6978,522,550,171.8,428.7,12.9
344,0.6487,308,424,474.6,425.7,9.9
345,0.6489,304,418,274.1,433.0,9.8
348,0.5637,224,481,619.8,428.8,8.4
351,0.7554,521,392,521.9,436.0,12.9
354,0.6542,564,754,340.2,439.8,13.4
355,0.6519,467,632,560.0,441.0,12.2
356,0.6866,223,250,146.5,438.7,8.4
357,0.7185,638,598,108.2,450.9,14.3
358,0.5691,241,503,448.9,448.9,8.8
361,0.6946,330,354,224.8,452.7,10.2
363,0.6107,204,343,45.0,453.8,8.1
364,0.6714,229,279,736.0,454.0,8.5
365,0.7257,930,836,703.5,464.1,17.2
366,0.6956,285,304,168.7,460.7,9.5
375,0.7192,600,560,317.4,476.8,13.8
380,0.7387,221,184,58.1,477.7,8.4
382,0.7755,1512,1002,584.3,494.4,21.9
385,0.6953,204,218,35.5,483.8,8.1
386,0.6446,521,733,166.9,496.0,12.9
388,0.6237,405,636,358.9,487.4,11.4
389,0.5515,444,1016,490.2,489.1,11.9
390,0.7444,994,800,294.9,499.8,17.8
403,0.7019,268,276,54.7,506.2,9.2
404,0.7697,298,205,119.6,506.4,9.7
408,0.6645,287,363,732.0,512.9,9.6
417,0.7667,1018,714,559.2,535.3,18.0
424,0.7815,1103,703,208.6,540.2,18.7
425,0.7567,296,221,303.2,537.1,9.7
427,0.6337,300,447,129.2,536.2,9.8
432,0.7084,419,416,498.7,545.1,11.5
436,0.7135,224,216,427.1,546.7,8.4
437,0.7592,200,147,711.8,544.5,8.0
446,0.6876,243,271,253.0,561.2,8.8
447,0.8004,722,405,360.8,567.8,15.2
448,0.6986,326,342,743.5,562.9,10.2
449,0.5353,410,1021,99.6,567.6,11.4
451,0.5274,563,1461,625.9,571.0,13.4
452,0.6778,544,640,679.3,570.4,13.2
453,0.6345,219,325,546.1,567.2,8.3
458,0.5379,307,754,11.3,572.0,9.9
